제목,링크,썸네일,높이,폭
예스라인 프런트 포켓 스판 청바지 남자청바지 일자청바지 작업복 바지 남자청바지,http://shopping.phinf.naver.net/main_5009862/50098626189.20240901193238.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5009862/50098626189.20240901193238.jpg,1000,1000
남성 밴딩 블루 워싱데님팬츠 청바지 레귤러 (8010) : 원 무드,http://shop1.phinf.naver.net/20220516_44/1652689238513FOA0G_JPEG/53825073347106185_1473252156.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20220516_44/1652689238513FOA0G_JPEG/53825073347106185_1473252156.jpg,1000,1000
아저씨청바지 50대 중년 남성 청바지 얇은 일자 K16,http://shopping.phinf.naver.net/main_4973253/49732536818.20240811201427.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4973253/49732536818.20240811201427.jpg,300,300
데님 청바지 딜링미 워싱 포인트 베이직,http://shopping.phinf.naver.net/main_4603799/46037993769.3.20240227074731.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4603799/46037993769.3.20240227074731.jpg,1200,1200
남성기모청바지 남자세미와이드청바지 밴딩 데님청바지 : 우모르,http://shop1.phinf.naver.net/20241115_109/1731657494046x14g7_JPEG/135501570720706_511913790.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241115_109/1731657494046x14g7_JPEG/135501570720706_511913790.jpg,1000,1000
기부미 7부청바지 데님 PT3677K95,http://shopping.phinf.naver.net/main_5091901/50919016794.20241019004028.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5091901/50919016794.20241019004028.jpg,300,300
남자청바지 와이드 밴딩 데님조거 생지 남성용 캐주얼 스트레이트 스트레치 청바지 비즈니스 패션 클래식 블루 블랙 작업 데님 바지 남성 의류... ,https://shop-phinf.pstatic.net/20240926_52/1727331625182RaarF_JPEG/9348712033962982_389901791.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240926_52/1727331625182RaarF_JPEG/9348712033962982_389901791.jpg,800,800
남자 와이드 청바지 워싱 연청 흑청 통청바지 데님 팬츠 : 핫코드,http://shop1.phinf.naver.net/20241107_256/1730962345257vYbP2_JPEG/3470572169143430_1035080565.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241107_256/1730962345257vYbP2_JPEG/3470572169143430_1035080565.jpg,1000,1000
남자와이드청바지 빅사이즈 밴딩 남자 청바지 : 션타운,http://shop1.phinf.naver.net/20240226_24/1708922638515TUbQo_JPEG/110058481207126693_1284696275.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240226_24/1708922638515TUbQo_JPEG/110058481207126693_1284696275.jpg,1000,1000
올진 올진 두시밴딩 테이퍼드핏 남자청바지 BLDO8001,http://shopping.phinf.naver.net/main_4705608/47056083682.20240414153853.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4705608/47056083682.20240414153853.jpg,600,600
