품종,방류물량1,방류구분,연도,월
감성돔,123831,매입방류,2022,01
감성돔,139183,매입방류,2022,06
감성돔,303030,매입방류,2022,01
감성돔,100000,생산방류,2022,07
감성돔,208290,매입방류,2022,06
감성돔,152049,매입방류,2022,06
감성돔,43000,생산방류,2022,06
감성돔,69697,매입방류,2022,07
감성돔,100000,매입방류,2022,05
감성돔,50000,매입방류,2022,06
감성돔,146100,매입방류,2022,01
감성돔,243000,매입방류,2022,05
감성돔,253108,매입방류,2022,05
감성돔,228277,매입방류,2022,06
감성돔,229042,매입방류,2022,06
감성돔,104651,매입방류,2022,08
감성돔,135682,매입방류,2022,07
감성돔,111651,매입방류,2022,08
감성돔,200543,매입방류,2022,07
감성돔,247500,매입방류,2022,06
감성돔,140850,매입방류,2022,05
감성돔,138982,매입방류,2022,05
감성돔,147419,매입방류,2022,05
감성돔,76924,매입방류,2022,06
감성돔,568362,매입방류,2022,06
감성돔,211268,매입방류,2022,06
감성돔,478000,매입방류,2022,06
감성돔,342626,매입방류,2022,06
감성돔,328398,매입방류,2022,07
갑오징어,50000,무상방류,2022,07
갑오징어,48000,생산방류,2022,07
갑오징어,123000,생산방류,2022,07
갑오징어,50000,생산방류,2022,06
강도다리,94783,매입방류,2022,07
강도다리,137218,매입방류,2022,08
강도다리,70000,무상방류,2022,09
강도다리,34058,매입방류,2022,08
강도다리,35581,매입방류,2022,08
강도다리,70000,생산방류,2022,09
강도다리,65000,생산방류,2022,09
강도다리,65000,생산방류,2022,09
강도다리,97016,매입방류,2022,08
강도다리,97016,매입방류,2022,08
강도다리,40000,무상방류,2022,05
강도다리,155556,매입방류,2022,11
강도다리,400000,매입방류,2022,09
강도다리,96410,매입방류,2022,08
강도다리,94621,매입방류,2022,08
개볼락,20000,시험방류,2022,09
개볼락,20000,무상방류,2022,09
꺽지,4000,생산방류,2022,01
꼼치,137000,무상방류,2022,01
꼼치,25900000,생산방류,2022,02
낙지,11000,매입방류,2022,06
넙치,114286,매입방류,2022,06
넙치,1186391,매입방류,2022,07
넙치,322294,매입방류,2022,07
넙치,30000,무상방류,2022,09
넙치,30000,생산방류,2022,09
넙치,30000,생산방류,2022,09
넙치,30000,생산방류,2022,09
넙치,30000,생산방류,2022,09
넙치,322294,매입방류,2022,01
넙치,1186391,매입방류,2022,07
넙치,654456,매입방류,2022,07
넙치,1159746,매입방류,2022,06
넙치,255000,생산방류,2022,05
넙치,164136,매입방류,2022,01
넙치,469637,매입방류,2022,07
넙치,518135,매입방류,2022,01
넙치,464000,매입방류,2022,06
넙치,4480220,매입방류,2022,01
넙치,541908,매입방류,2022,07
넙치,141654,매입방류,2022,07
넙치,171495,매입방류,2022,07
넙치,134049,매입방류,2022,07
넙치,141654,매입방류,2022,07
대구,6000000,무상방류,2022,04
대구,6000000,생산방류,2022,04
대구,2000000,생산방류,2022,01
돌가자미,22314,매입방류,2022,08
돌가자미,22315,매입방류,2022,08
돌가자미,69056,매입방류,2022,08
돌가자미,41537,매입방류,2022,05
돌돔,102041,매입방류,2022,09
돌돔,291069,매입방류,2022,01
돌돔,122542,매입방류,2022,01
돌돔,55914,매입방류,2022,05
돌돔,55914,매입방류,2022,05
돌돔,167105,매입방류,2022,06
돌돔,126543,매입방류,2022,05
돌돔,52631,매입방류,2022,06
돌돔,21000,매입방류,2022,09
돌돔,73530,매입방류,2022,07
돌돔,68493,매입방류,2022,06
돌돔,104020,매입방류,2022,07
돌돔,143711,매입방류,2022,05
돌돔,21000,매입방류,2022,11
돌돔,45000,매입방류,2022,11
돌돔,45000,매입방류,2022,11
돌돔,42000,매입방류,2022,11
돌돔,43000,매입방류,2022,11
돌돔,45000,매입방류,2022,11
돌돔,45000,매입방류,2022,11
돌돔,25000,매입방류,2022,11
돌돔,17000,매입방류,2022,11
돌돔,43000,매입방류,2022,11
돌돔,21000,매입방류,2022,11
돌돔,10000,매입방류,2022,11
돌돔,42000,매입방류,2022,11
돌돔,45000,매입방류,2022,11
돌돔,42000,매입방류,2022,11
돌돔,42000,매입방류,2022,11
돌돔,42000,매입방류,2022,10
돌돔,42000,매입방류,2022,10
돌돔,16000,매입방류,2022,10
돌돔,26000,매입방류,2022,10
돌돔,42000,매입방류,2022,10
돌돔,35000,매입방류,2022,10
돌돔,43000,매입방류,2022,10
돌돔,42000,매입방류,2022,10
돌돔,12000,매입방류,2022,10
돌돔,31000,매입방류,2022,10
돌돔,43000,매입방류,2022,10
돌돔,42000,매입방류,2022,10
