어종명,연도,월,총마릿수,총중량(kg)
가오리류,2023,01,0.0,0.0
가오리류,2023,02,16.0,16.2
가오리류,2023,03,113.0,84.8
가오리류,2023,04,0.0,0.0
가오리류,2023,05,0.0,0.0
가오리류,2023,06,5.0,13.4
가오리류,2023,07,33.0,9.9
가오리류,2023,08,0.0,0.0
가오리류,2023,09,4.0,4.9
가오리류,2023,10,38.0,59.2
가오리류,2023,11,22.0,22.4
가오리류,2023,12,8.0,14.0
가오리류,2024,01,60.0,30.0
가오리류,2024,02,393.0,366.0
가오리류,2024,03,127.0,118.4
가오리류,2024,04,20.0,15.0
가오리류,2024,05,34.0,90.4
가오리류,2024,06,91.0,90.8
가오리류,2024,07,17.0,21.6
가오리류,2024,08,82.0,170.5
가오리류,2024,09,23.0,33.4
가오리류,2024,10,11.0,5.5
가자미류,2023,01,306990.0,79668.1
가자미류,2023,02,663552.0,134977.7
가자미류,2023,03,173297.0,53109.4
가자미류,2023,04,82285.0,31819.2
가자미류,2023,05,77375.0,25293.8
가자미류,2023,06,79371.0,19872.5
가자미류,2023,07,45418.0,12213.8
가자미류,2023,08,27302.0,8768.1
가자미류,2023,09,31082.0,6457.1
가자미류,2023,10,13382.0,3846.2
가자미류,2023,11,6587.0,1476.2
가자미류,2023,12,110348.0,34341.1
가자미류,2024,01,105604.0,30138.3
가자미류,2024,02,539218.0,93594.5
가자미류,2024,03,133689.0,45246.2
가자미류,2024,04,141031.0,37434.9
가자미류,2024,05,112746.0,28444.8
가자미류,2024,06,90527.0,22756.1
가자미류,2024,07,57990.0,12295.0
가자미류,2024,08,77620.0,14903.3
가자미류,2024,09,36415.0,8310.1
가자미류,2024,10,28649.0,4698.0
갈치,2023,01,0.0,0.0
갈치,2023,02,17445.0,5530.2
갈치,2023,03,117259.0,35913.4
갈치,2023,04,77735.0,22171.4
갈치,2023,05,290019.0,83566.9
갈치,2023,06,779250.0,239696.5
갈치,2023,07,65532.0,16095.2
갈치,2023,08,3619009.0,1156072.2
갈치,2023,09,5657650.0,1961465.9
갈치,2023,10,4532800.0,1590505.6
갈치,2023,11,2550584.0,841861.2
갈치,2023,12,483653.0,159244.1
갈치,2024,01,20505.0,6911.9
갈치,2024,02,24.0,30.6
갈치,2024,03,4359.0,628.8
갈치,2024,04,7559.0,995.5
갈치,2024,05,22690.0,5601.2
갈치,2024,06,251396.0,71260.2
갈치,2024,07,28952.0,8413.8
갈치,2024,08,2824419.0,779354.9
갈치,2024,09,2172999.0,661696.6
갈치,2024,10,2491144.0,701747.9
감성돔,2023,01,25604.0,23007.3
감성돔,2023,02,20261.0,18088.5
감성돔,2023,03,34357.0,31521.9
감성돔,2023,04,34036.0,30296.6
감성돔,2023,05,4018.0,4457.1
감성돔,2023,06,20287.0,17068.2
감성돔,2023,07,11593.0,8108.7
감성돔,2023,08,159145.0,67518.5
감성돔,2023,09,208889.0,105509.6
감성돔,2023,10,193066.0,95351.9
감성돔,2023,11,121817.0,83440.0
감성돔,2023,12,99045.0,89421.1
감성돔,2024,01,60237.0,59952.4
감성돔,2024,02,48878.0,48427.5
감성돔,2024,03,53633.0,49533.4
감성돔,2024,04,65803.0,61283.9
감성돔,2024,05,188.0,155.7
감성돔,2024,06,29599.0,21535.2
감성돔,2024,07,7447.0,4608.3
감성돔,2024,08,26524.0,13694.6
감성돔,2024,09,90046.0,43342.4
감성돔,2024,10,160888.0,83238.5
강달이류,2023,01,0.0,0.0
강달이류,2023,02,0.0,0.0
강달이류,2023,03,0.0,0.0
강달이류,2023,04,0.0,0.0
강달이류,2023,05,0.0,0.0
강달이류,2023,06,0.0,0.0
강달이류,2023,07,0.0,0.0
강달이류,2023,08,0.0,0.0
강달이류,2023,09,0.0,0.0
강달이류,2023,10,0.0,0.0
강달이류,2023,11,0.0,0.0
